,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
32,8.778,7.98,7.35,7.455,7.455,7.308,6.3,7.56,5.796,6.51,6.51,6.72,7.14,7.686,7.791,7.791,7.98,8.652,9.03,8.925,8.82,8.568,8.4,7.98,7.434,7.14,6.51,6.132,5.901,6.132,6.699,19.446,21.84,22.491,23.31,22.869,21.21,7.35,7.14,7.623,6.909,5.46,4.2,5.25,3.36,2.52,2.1,1.89
33,2.52,2.94,1.89,0.525,0.105,0.63,0.0,0.042,0.441,0.84,3.57,5.67,8.148,7.644,9.324,7.623,8.148,8.169,7.896,7.497,7.203,6.93,6.93,7.224,7.14,7.161,7.098,7.14,6.636,6.09,7.14,21.42,23.1,23.436,24.15,23.73,22.89,9.24,9.24,7.35,6.468,7.35,6.678,6.678,3.045,3.549,2.835,2.016
34,2.94,2.73,2.205,1.47,1.47,2.016,1.05,2.1,2.1,3.57,4.872,6.3,7.35,5.796,7.119,7.728,7.896,7.56,7.392,6.93,6.825,6.699,6.552,7.518,7.56,7.56,7.56,8.022,6.867,6.3,6.3,19.53,20.664,21.924,23.1,23.52,23.52,11.13,9.051,8.736,6.93,7.896,7.056,6.93,5.46,4.704,4.62,5.25
35,7.14,6.195,6.09,6.027,5.712,6.3,5.88,5.376,5.922,6.804,7.56,7.56,7.476,7.98,11.34,10.29,9.891,9.996,9.24,8.799,7.707,7.98,7.098,7.77,6.72,6.72,6.615,6.72,6.909,6.426,9.156,19.152,21.924,23.1,23.688,23.1,22.47,10.92,9.24,8.736,6.72,9.051,6.72,7.14,5.25,5.124,5.943,4.872
36,6.363,6.3,5.04,5.334,5.124,5.292,4.431,5.04,5.04,5.607,5.796,7.56,7.056,7.014,9.03,8.757,8.757,9.24,8.82,7.98,7.896,7.392,7.371,7.098,7.077,6.909,6.888,6.951,6.951,7.098,8.4,21.0,22.68,24.15,25.704,24.15,23.394,10.5,8.967,8.946,7.455,7.182,6.93,6.72,5.88,5.88,6.72,5.88
37,7.308,6.72,4.83,6.72,4.8615,6.72,4.2,6.09,5.208,6.3,7.644,7.56,7.35,8.442,10.815,9.24,8.757,8.463,6.51,7.056,7.14,6.195,6.468,6.699,6.3,5.88,5.67,5.775,5.67,5.25,6.531,19.173,21.693,21.252,22.47,22.428,20.58,8.4,8.106,7.728,6.972,7.56,6.594,5.46,3.213,7.14,4.2,4.2
38,6.489,6.09,3.255,3.99,3.885,4.2,3.99,3.99,4.62,4.2,5.124,5.061,7.56,6.3,5.88,7.623,8.463,9.24,9.45,8.904,8.4,7.77,7.56,7.14,6.993,6.384,5.124,5.796,4.2,6.636,7.329,19.593,21.84,21.945,24.15,23.394,21.21,8.82,7.35,7.35,7.14,8.568,7.14,7.056,5.46,6.09,4.62,2.772
39,3.15,4.536,3.15,3.36,2.1,2.352,0.63,0.525,0.525,0.525,0.63,0.861,2.73,4.2,4.62,6.195,7.98,6.846,7.14,8.043,9.093,8.19,8.421,9.24,9.45,8.421,7.98,8.064,7.098,6.384,6.888,19.32,21.504,21.84,23.52,23.1,21.084,7.518,6.405,6.09,5.25,7.14,4.62,5.25,4.2,2.1,1.869,1.239
40,1.89,4.956,1.155,2.247,0.147,2.478,0.147,1.68,1.554,0.315,2.751,5.124,7.791,7.644,8.61,7.539,7.182,7.98,6.951,7.224,6.93,7.497,7.14,7.539,7.14,7.224,7.098,7.14,6.195,6.069,6.804,19.53,21.0,21.42,22.89,22.68,21.504,8.505,7.56,7.602,6.951,6.951,6.321,6.3,3.36,3.696,3.36,3.192
41,3.57,3.57,3.36,2.31,1.995,2.268,0.819,2.52,2.52,3.36,4.62,6.3,6.3,7.77,8.4,9.03,8.61,9.24,8.4,7.539,6.6255,6.468,6.468,6.132,5.796,6.72,6.3,6.153,5.649,4.83,6.3,19.32,21.84,21.42,23.31,23.1,21.84,9.87,8.379,7.14,6.93,8.82,6.72,5.964,5.145,4.599,3.57,3.57
42,4.41,5.628,3.57,4.116,2.73,2.625,2.1,3.57,3.57,3.99,5.46,6.3,8.925,7.413,7.707,8.106,7.917,8.484,7.602,6.552,5.46,5.67,5.67,6.048,6.174,5.67,5.67,7.14,7.14,5.04,5.964,19.11,20.832,21.378,24.15,25.41,24.36,10.668,9.45,8.4,7.35,7.35,7.35,7.308,6.804,6.93,6.153,5.964
